,ID,label,recived,sent,freight_flow
281,cardoso,cardoso,2.0,0.0,2.0
282,getulina,getulina,1.0,0.0,1.0
283,santa fe do sul,santa fe do sul,23.0,0.0,23.0
284,pederneiras,pederneiras,25.0,4.0,29.0
285,guara,guara,5.0,122.0,127.0
286,cristais paulista,cristais paulista,2.0,0.0,2.0
287,zacarias,zacarias,2.0,0.0,2.0
288,natividade da serra,natividade da serra,1.0,0.0,1.0
289,palmeira d'oeste,palmeira d'oeste,4.0,0.0,4.0
290,itapura,itapura,6.0,0.0,6.0
291,areiopolis,areiopolis,1.0,0.0,1.0
292,general salgado,general salgado,5.0,0.0,5.0
293,vista alegre do alto,vista alegre do alto,3.0,0.0,3.0
294,sao francisco,sao francisco,2.0,0.0,2.0
295,sao pedro,sao pedro,12.0,21.0,33.0
296,maua,maua,301.0,268.0,569.0
297,irape,irape,2.0,0.0,2.0
298,tres fronteiras,tres fronteiras,3.0,0.0,3.0
299,valparaiso,valparaiso,6.0,0.0,6.0
300,itapeva,itapeva,75.0,5.0,80.0
301,altinopolis,altinopolis,2.0,0.0,2.0
302,socorro,socorro,22.0,17.0,39.0
303,pedrinhas paulista,pedrinhas paulista,3.0,2.0,5.0
304,nova guataporanga,nova guataporanga,1.0,0.0,1.0
305,potim,potim,2.0,0.0,2.0
306,louveira,louveira,41.0,103.0,144.0
307,ourinhos,ourinhos,102.0,0.0,102.0
308,iracemapolis,iracemapolis,17.0,0.0,17.0
309,areias,areias,12.0,0.0,12.0
310,jose bonifacio,jose bonifacio,13.0,0.0,13.0
311,bom jesus dos perdoes,bom jesus dos perdoes,15.0,0.0,15.0
312,pirituba,pirituba,0.0,74.0,74.0
313,pindamonhangaba,pindamonhangaba,78.0,0.0,78.0
314,auriflama,auriflama,10.0,11.0,21.0
315,cotia,cotia,212.0,115.0,327.0
316,vera cruz,vera cruz,9.0,0.0,9.0
317,irapua,irapua,3.0,0.0,3.0
318,franco da rocha,franco da rocha,94.0,7.0,101.0
319,silveiras,silveiras,7.0,0.0,7.0
320,aparecida,aparecida,19.0,38.0,57.0
321,ubatuba,ubatuba,76.0,3.0,79.0
322,pariquera-acu,pariquera-acu,10.0,0.0,10.0
