,seller_zip_code_prefix_3_digits,customer_zip_code_prefix_3_digits,frequency,freight_value,delay,phy_dist,efficiency
292,023,056,1,7.78,9.228159722222221,19.141389552078618,0.48210500586255034
293,023,057,3,9.676666666666668,6.429726080246913,23.867180705219397,0.2676732487711528
294,023,058,6,7.779999999999999,6.036983796296296,24.7337825506447,0.24674446454126317
295,023,080,2,7.78,8.96916087962963,17.872136681161038,0.5079351322242736
296,023,082,5,7.6825,3.5277546296296296,17.964227668057532,0.2039826930471777
297,023,084,2,7.640000000000001,13.798159722222222,20.168184648969923,0.6899007278843272
298,024,012,2,7.78,6.094195601851851,8.015067237339117,0.8422309992727436
299,024,013,1,8.88,4.07818287037037,8.095169556471678,0.5037797963243488
300,024,014,10,8.88,0.9762152777777777,8.723361213695528,0.11190815717284944
301,024,015,2,7.84,2.3139062499999996,9.301821746380266,0.2500173855674065
302,024,020,1,7.39,3.1099305555555556,1.33488505935495,2.329736582008306
303,024,023,1,8.88,2.144675925925926,4.018379180954704,0.5337166627009013
304,024,024,3,11.73,8.971087962962963,2.360669646550027,3.800230149133173
305,024,026,1,7.78,1.3852662037037038,0.5741499409903402,2.4127255004403287
306,024,027,3,7.78,2.8708680555555555,3.827451183474776,0.7500730689788235
307,024,028,2,10.225000000000001,6.173344907407407,4.961813498574729,1.2313522273519615
308,024,029,3,7.95,4.933344907407407,6.940888716440424,0.7483187737013779
309,024,030,3,8.72,21.245011574074073,6.344538772982653,3.348550987589994
310,024,031,1,9.34,4.574814814814815,13.940558342423191,0.32816582395361976
311,024,032,1,9.34,3.254988425925926,17.525008287931573,0.1857339164950605
312,024,033,4,8.863333333333333,2.2576466049382717,11.255128950988606,0.19811133489842203
313,024,036,2,9.11,4.068368055555556,13.031121330726508,0.34883305212704907
314,024,037,1,9.34,0.9490972222222223,10.886008322033138,0.08718505389172465
315,024,039,4,9.203333333333333,6.665401234567901,19.735111811204703,0.3348562597302058
316,024,040,2,7.585,2.88494212962963,13.330075054214149,0.21046443392761838
317,024,041,2,8.815,4.650868055555556,15.830240602200877,0.28825751613021355
318,024,043,3,35.44499999999999,4.212355324074074,16.464883350186298,0.2615394255007138
319,024,045,3,13.743333333333334,3.3266087962962962,12.973217706646865,0.26261125645403766
320,024,047,2,9.465,4.66775462962963,18.272334092838964,0.2562117223706149
321,024,048,2,12.845,8.495885416666667,35.18078813588068,0.24048539477413602
322,024,051,1,8.72,2.9667708333333334,8.58236628245524,0.3456821505507454
323,024,054,1,7.39,2.6367592592592595,11.252522218993441,0.23432606556498073
324,024,055,2,10.935,3.4106655092592595,17.273655272900555,0.1893672286069712
325,024,057,4,11.725000000000001,6.741848958333334,21.921986382711847,0.30647774119050575
326,024,058,2,8.06,4.052482638888889,22.472338146597767,0.18034996941380352
327,024,081,1,8.72,8.33849537037037,26.345487629047625,0.31650563799687026
328,024,082,2,11.045,5.548912037037037,21.053878548117495,0.264450614734295
329,025,012,3,25.11,0.05461805555555556,3.0492122104362926,0.01791218576674288
330,025,014,1,7.78,6.522164351851852,9.41660331462315,0.692623882937015
331,025,015,1,7.78,6.317245370370371,8.503761382729197,0.7428766031935522
332,025,028,1,8.72,10.9965625,4.183382891451858,2.6286292183462088
333,025,033,1,8.4,3.218275462962963,10.562323764604937,0.3046938850471164
334,025,040,2,8.75,4.481290509259259,10.214767807836486,0.40734848802390267
335,025,043,1,9.34,2.893009259259259,17.578756139688235,0.164574173295891
336,025,045,1,7.39,4.967025462962963,11.589232598319013,0.42858967760155375
337,025,047,1,8.3,3.102025462962963,15.613575635139401,0.19867489263520433
338,025,048,1,7.78,5.650601851851852,28.692700358509338,0.19693517101035296
339,025,050,1,8.42,1.9120833333333334,3.1530200186140576,0.6064291764864244
340,025,058,1,8.2,8.600277777777778,21.40276103549465,0.40183029486312316
341,026,012,3,7.39,1.506689814814815,9.045440192005511,0.1665689875597706
342,026,014,2,7.39,1.1973032407407407,11.873689168119839,0.10083666700282419
343,026,022,1,1.61,2.0610185185185186,5.392203837327202,0.38222192274172645
344,026,026,1,8.72,11.992465277777777,1.3456185884423126,8.912232173947782
345,026,030,2,8.475,4.108396990740741,11.582068321243316,0.34196925239552745
346,026,039,1,9.24,2.74880787037037,22.535112025166185,0.12197888642846004
347,026,040,3,6.36,3.648072916666667,16.95048286139809,0.21743480979879812
348,026,041,1,8.72,2.3090046296296296,16.863842166818436,0.1369204364455488
349,026,044,1,8.72,1.9412615740740742,23.753787732960166,0.08172429575854245
350,026,046,2,8.385,2.464803240740741,20.86452594787457,0.12299423692325866
351,026,048,1,7.78,9.176030092592592,29.035296990610437,0.31603017856369703
352,026,053,1,7.78,5.772974537037037,15.539674923466109,0.3714990542253493
353,026,057,1,7.78,2.086828703703704,22.427378636530776,0.09304826647482459
354,026,058,3,7.78,5.197060185185185,29.225071369832097,0.17782882783820703
355,027,013,1,7.39,4.010833333333333,7.446281371652183,0.5386357475830125
356,027,014,3,7.46,1.7927083333333333,8.023404046081218,0.22343488163342914
357,027,027,3,7.39,4.425266203703703,0.4231101021493308,10.458899896797707
358,027,029,1,7.67,8.282210648148148,6.695363998811633,1.2370067780658625
359,027,032,3,7.46,4.6707986111111115,17.763006721216172,0.2629509003975267
360,027,033,2,7.5649999999999995,10.686261574074075,14.29012547236918,0.7878207843348947
361,027,043,1,7.78,7.435659722222222,17.45897420230387,0.4258932762064004
362,027,044,1,8.29,12.732164351851852,23.76713261937539,0.5357046874671102
363,027,046,1,7.74,2.1488310185185187,19.394800072474077,0.11079418248648157
364,027,047,3,7.67,16.052488425925926,14.088457563581017,1.1394070893482318
365,027,053,1,7.93,1.4993402777777778,8.95912092180395,0.1673535038609436
366,027,054,1,7.61,3.1413194444444446,6.440127955088685,0.48777283096717394
