,seller_city,customer_city,frequency,freight_value,delay,phy_dist,efficiency
3945,pradopolis,ipero,1,12.84,10.055949074074075,226.79418768388544,0.044339536108793265
3946,pradopolis,itapevi,1,15.69,4.285138888888889,268.5045034745582,0.015959281253898675
3947,pradopolis,jaboticabal,1,13.6,5.6400347222222225,28.027885756246214,0.20122940314773122
3948,pradopolis,jacarei,1,12.9,19.747557870370372,305.9830563774323,0.06453807640254307
3949,pradopolis,jundiai,1,16.25,10.602951388888888,235.40981286296125,0.04504039682942685
3950,pradopolis,louveira,1,14.43,10.862164351851852,223.54475984970995,0.04859055680461725
3951,pradopolis,marilia,2,14.155000000000001,14.275665509259259,214.8912894629106,0.06661195201699427
3952,pradopolis,mococa,1,14.41,7.798171296296296,111.43623960986247,0.06997877282648483
3953,pradopolis,mogi mirim,1,13.84,6.320150462962963,164.05414827872153,0.03852478300167867
3954,pradopolis,murutinga do sul,1,15.55,9.629236111111112,334.7681441927176,0.02876389608196353
3955,pradopolis,osasco,1,12.84,4.819155092592593,271.7159444906654,0.017736004052416408
3956,pradopolis,registro,1,14.51,10.29207175925926,349.8079997663775,0.02942205943298299
3957,pradopolis,ribeirao pires,1,12.84,9.156331018518518,312.25738220465774,0.029323024979814035
3958,pradopolis,santos,1,15.83,17.726423611111112,343.8502152222519,0.051552748337392824
3959,pradopolis,sao bernardo do campo,2,12.684999999999999,24.682604166666668,302.1158579992241,0.08143234212498897
3960,pradopolis,sao carlos,1,13.03,14.908252314814815,75.19552736568761,0.1982598279059026
3961,pradopolis,sao jose do rio preto,1,12.54,6.770590277777778,150.0126657607064,0.0451334575213664
3962,pradopolis,sao jose dos campos,2,14.885,13.917760416666667,302.75424649182315,0.04597048787238914
3963,pradopolis,sao paulo,20,13.644500000000003,10.282609924768519,286.1644466257052,0.03619940656687171
3964,pradopolis,sorocaba,1,12.52,6.6444675925925925,249.90231345662394,0.026588259631081353
